Payoff Type,T,R,P,S,,0 to 100 by 1,,,"IF(I2=0,1)","IF(AND(I2=0,B2<>0),1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,13,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,14,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 4R < 3T+P < 2T+2P < 3R+S < 2R+2S < T+3P < R+3S < 4P < 4S,0,0,0,0,,,15,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,16,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,17,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 4R < 3T+P < 2T+2P < 3R+S < 2R+2S < T+3P < 4P < R+3S < 4S,0,0,0,0,,,18,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,19,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 122x123,,,,,,,20,2,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T < 4R < 3T+P < 2T+2P < 3R+S < T+3P < 2R+2S < R+3S < 4P < 4S,0,0,0,0,,,21,0,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results 3x5000,,,,,,,22,1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
